Arguments: {'model_path': 'checkpoint_epoch_60.pth', 'batch_size': 512, 'epochs': 100, 'log_dir': './logs'}


Train Epoch: [1/100] Loss: 1.5521 ACC@1: 45.98% ACC@5: 88.43%
Test Epoch: [1/100] Loss: 1.1119 ACC@1: 61.75% ACC@5: 96.23% 
Train Epoch: [2/100] Loss: 1.2652 ACC@1: 56.49% ACC@5: 93.43%
Test Epoch: [2/100] Loss: 1.0066 ACC@1: 65.15% ACC@5: 97.15% 
Train Epoch: [3/100] Loss: 1.2053 ACC@1: 58.50% ACC@5: 94.22%
Test Epoch: [3/100] Loss: 0.9500 ACC@1: 67.35% ACC@5: 97.23% 
Train Epoch: [4/100] Loss: 1.1677 ACC@1: 59.55% ACC@5: 94.22%
Test Epoch: [4/100] Loss: 0.9167 ACC@1: 68.60% ACC@5: 97.51% 
Train Epoch: [5/100] Loss: 1.1486 ACC@1: 60.60% ACC@5: 94.39%
Test Epoch: [5/100] Loss: 0.8973 ACC@1: 69.17% ACC@5: 97.56% 
Train Epoch: [6/100] Loss: 1.1227 ACC@1: 61.15% ACC@5: 94.73%
Test Epoch: [6/100] Loss: 0.8551 ACC@1: 70.28% ACC@5: 97.87% 
Train Epoch: [7/100] Loss: 1.1148 ACC@1: 61.59% ACC@5: 94.60%
Test Epoch: [7/100] Loss: 0.8547 ACC@1: 70.79% ACC@5: 97.92% 
Train Epoch: [8/100] Loss: 1.1059 ACC@1: 61.93% ACC@5: 94.69%
Test Epoch: [8/100] Loss: 0.8361 ACC@1: 71.52% ACC@5: 98.01% 
Train Epoch: [9/100] Loss: 1.0952 ACC@1: 61.98% ACC@5: 94.89%
Test Epoch: [9/100] Loss: 0.8148 ACC@1: 71.76% ACC@5: 98.17% 
Train Epoch: [10/100] Loss: 1.0832 ACC@1: 62.47% ACC@5: 95.08%
Test Epoch: [10/100] Loss: 0.8197 ACC@1: 71.66% ACC@5: 98.12%
Train Epoch: [11/100] Loss: 1.0864 ACC@1: 62.60% ACC@5: 94.70%
Test Epoch: [11/100] Loss: 0.8207 ACC@1: 71.67% ACC@5: 98.16%
Train Epoch: [12/100] Loss: 1.0750 ACC@1: 63.06% ACC@5: 95.05%
Test Epoch: [12/100] Loss: 0.7904 ACC@1: 73.13% ACC@5: 98.30%
Train Epoch: [13/100] Loss: 1.0735 ACC@1: 62.91% ACC@5: 95.16%
Test Epoch: [13/100] Loss: 0.7944 ACC@1: 72.73% ACC@5: 98.10%
Train Epoch: [14/100] Loss: 1.0661 ACC@1: 63.21% ACC@5: 95.07%
Test Epoch: [14/100] Loss: 0.8058 ACC@1: 71.71% ACC@5: 98.22%
Train Epoch: [15/100] Loss: 1.0554 ACC@1: 63.57% ACC@5: 95.12%
Test Epoch: [15/100] Loss: 0.7889 ACC@1: 72.94% ACC@5: 98.23%
Train Epoch: [16/100] Loss: 1.0642 ACC@1: 63.16% ACC@5: 95.10%
Test Epoch: [16/100] Loss: 0.7725 ACC@1: 73.55% ACC@5: 98.37%
Train Epoch: [17/100] Loss: 1.0469 ACC@1: 63.88% ACC@5: 95.40%
Test Epoch: [17/100] Loss: 0.7797 ACC@1: 73.22% ACC@5: 98.39%
