Arguments: {'model_path': 'checkpoint_epoch_5.pth', 'batch_size': 512, 'epochs': 100, 'log_dir': './logs'}
Test Epoch: [35/100] Loss: 0.4178 ACC@1: 85.69% ACC@5: 99.50%
Train Epoch: [36/100] Loss: 0.6573 ACC@1: 77.54% ACC@5: 97.77%
Test Epoch: [36/100] Loss: 0.4145 ACC@1: 85.94% ACC@5: 99.44%
Train Epoch: [37/100] Loss: 0.6573 ACC@1: 77.46% ACC@5: 97.90%
Test Epoch: [37/100] Loss: 0.4209 ACC@1: 85.61% ACC@5: 99.44%
Train Epoch: [38/100] Loss: 0.6545 ACC@1: 77.32% ACC@5: 97.87%
Test Epoch: [38/100] Loss: 0.4151 ACC@1: 85.86% ACC@5: 99.49%
Train Epoch: [39/100] Loss: 0.6520 ACC@1: 77.41% ACC@5: 97.89%
Test Epoch: [39/100] Loss: 0.4257 ACC@1: 85.61% ACC@5: 99.45%
Train Epoch: [40/100] Loss: 0.6552 ACC@1: 77.60% ACC@5: 97.87%
Test Epoch: [40/100] Loss: 0.4135 ACC@1: 85.79% ACC@5: 99.48%
Train Epoch: [41/100] Loss: 0.6534 ACC@1: 77.60% ACC@5: 97.84%
Test Epoch: [41/100] Loss: 0.4154 ACC@1: 85.88% ACC@5: 99.44%
Train Epoch: [42/100] Loss: 0.6496 ACC@1: 77.55% ACC@5: 97.86%
Test Epoch: [42/100] Loss: 0.4163 ACC@1: 85.87% ACC@5: 99.48%
Train Epoch: [43/100] Loss: 0.6495 ACC@1: 77.66% ACC@5: 97.99%
Test Epoch: [43/100] Loss: 0.4224 ACC@1: 85.77% ACC@5: 99.48%
Train Epoch: [44/100] Loss: 0.6474 ACC@1: 77.88% ACC@5: 97.88%
Test Epoch: [44/100] Loss: 0.4165 ACC@1: 85.85% ACC@5: 99.50%
Train Epoch: [45/100] Loss: 0.6467 ACC@1: 77.79% ACC@5: 97.90%
Test Epoch: [45/100] Loss: 0.4107 ACC@1: 86.01% ACC@5: 99.46%
Train Epoch: [46/100] Loss: 0.6454 ACC@1: 77.87% ACC@5: 97.85%
Test Epoch: [46/100] Loss: 0.4119 ACC@1: 86.00% ACC@5: 99.48%
Train Epoch: [47/100] Loss: 0.6484 ACC@1: 77.52% ACC@5: 97.79%
Test Epoch: [47/100] Loss: 0.4117 ACC@1: 85.97% ACC@5: 99.50%
Train Epoch: [48/100] Loss: 0.6544 ACC@1: 77.51% ACC@5: 97.83%
Test Epoch: [48/100] Loss: 0.4106 ACC@1: 85.97% ACC@5: 99.48%
Train Epoch: [49/100] Loss: 0.6494 ACC@1: 77.72% ACC@5: 97.89%
Test Epoch: [49/100] Loss: 0.4166 ACC@1: 85.80% ACC@5: 99.50%
Train Epoch: [50/100] Loss: 0.6462 ACC@1: 77.61% ACC@5: 97.98%
Test Epoch: [50/100] Loss: 0.4214 ACC@1: 85.62% ACC@5: 99.47%
Train Epoch: [51/100] Loss: 0.6504 ACC@1: 77.69% ACC@5: 97.83%
Test Epoch: [51/100] Loss: 0.4171 ACC@1: 85.97% ACC@5: 99.52%
Train Epoch: [52/100] Loss: 0.6416 ACC@1: 77.94% ACC@5: 97.99%
Test Epoch: [52/100] Loss: 0.4239 ACC@1: 85.58% ACC@5: 99.50%
Train Epoch: [53/100] Loss: 0.6440 ACC@1: 77.97% ACC@5: 97.88%
Test Epoch: [53/100] Loss: 0.4069 ACC@1: 86.18% ACC@5: 99.48%
Train Epoch: [54/100] Loss: 0.6488 ACC@1: 77.76% ACC@5: 97.89%
Test Epoch: [54/100] Loss: 0.4257 ACC@1: 85.66% ACC@5: 99.49%
Train Epoch: [55/100] Loss: 0.6462 ACC@1: 77.83% ACC@5: 97.86%
Test Epoch: [55/100] Loss: 0.4133 ACC@1: 85.95% ACC@5: 99.49%
Train Epoch: [56/100] Loss: 0.6419 ACC@1: 77.97% ACC@5: 97.95%
Test Epoch: [56/100] Loss: 0.4198 ACC@1: 85.74% ACC@5: 99.47%
Train Epoch: [57/100] Loss: 0.6439 ACC@1: 77.67% ACC@5: 97.97%
Test Epoch: [57/100] Loss: 0.4120 ACC@1: 85.93% ACC@5: 99.48%
Train Epoch: [58/100] Loss: 0.6409 ACC@1: 78.00% ACC@5: 97.98%
